head	Temperature	Dissolved oxygen	Secchi depth	Chlorophyll-a	Chloride	Sulfate	Calcium	Magnesium	Sodium	Potassium	Iron	Manganese	pH	Dissolved inorganic carbon	Total inorganic carbon	Dissolved organic carbon	Total organic carbon	Nitrate plus nitrite	Ammonium	Total phosphorus	Soluble reactive phosphorus	Phytoplankton-Bacillariophyta	Phytoplankton-Chlorophyta	Phytoplankton-Chrysophyta	Phytoplankton-Cryptophyta	Phytoplankton-Cyanophyta	Phytoplankton-Euglenophyta	Phytoplankton-Haptophyta	Phytoplankton-Miscellaneous	Phytoplankton-Pyrrhophyta	Phytoplankton-Xanthophyta	Phytoplankton-Total	Zooplankton density
2013-Clearwater	10.056930555666664	8.9053333334	7.2329	1.05	NA	NA	NA	NA	NA	NA	NA	NA	8.3	38.18	48.73	3.62	4.76	0.515	0.18	0.05	0.02	0.002570225	0.04758862	1.995e-05	0.017602905	0.07491717	0.0	0.000384205	0.0	0.0	0.0	0.14308308	1272296.5
2013-Early Summer	11.344636363636367	4.095	2.344955	9.3	NA	NA	NA	NA	NA	NA	NA	NA	8.94	37.18	41.41	4.98	4.24	0.30000000000000004	0.03	0.035	0.0	0.102202345	0.17641758500000002	0.002915675	0.107578665	2.28060997	0.0	0.003735315	0.00552093	0.006385655	0.0	2.6853661399999997	663428.0
2013-Late Summer	13.24166504854368	0.742	1.5682465489999997	11.280000000000001	49.15	17.78	27.65	29.48	22.03	2.82	0.0	0.0	8.69	37.38	29.113333333333333	5.073333333333333	5.1066666666666665	0.008	0.008	0.026000000000000002	0.0	0.17193436599999998	0.08342237599999999	0.0005543099999999999	0.049476980000000004	2.160177386	0.0	0.058569766	0.005543101999999999	0.007824404	0.0	2.5375026899999997	447186.4
2013-Fall	11.177	11.3	2.6166666666666667	11.350000000000001	50.71	18.35	30.73	32.21	23.65	2.91	0.0	0.0	8.350000000000001	39.015	41.04	4.855	4.125	0.08	0.425	0.08499999999999999	0.055	4.201544095	0.08218552500000001	0.015146714999999998	0.074933885	0.040540935	0.0	0.035133325	0.0	0.0	0.0	4.449484480000001	690541.5
2013-Ice-on	1.1	14.2	4.0	5.4	51.6	17.98	35.18	36.48	24.55	3.09	0.0	0.0	NA	44.0	47.0	5.0	5.0	NA	NA	NA	NA	1.17848591	0.04826129	0.00119731	0.05073046	0.00933643	0.0	0.00192102	0.0	0.0	0.0	1.28993242	534525.0
2014-Spring	9.515701388750003	11.6	1.5354166666666667	18.26666666666667	53.23	18.99	35.19	33.15	23.98	3.1	0.0	0.0	8.115	41.96	44.795	4.755000000000001	4.73	0.73	0.05	0.08499999999999999	0.03	0.7067982233333333	0.17037030333333333	0.011993696666666666	0.23381422999999998	0.051001330000000004	0.0	0.32130839333333333	0.005373473333333333	0.018950613333333335	0.0	1.5196102633333333	2400370.3333333335
2014-Clearwater	10.335142857142857	8.120000000000001	3.56	9.1	NA	NA	NA	NA	NA	NA	NA	NA	8.39	41.81	42.83	4.97	5.04	0.4	0.05	0.04	0.01	0.0	0.18508821	0.00017104	0.00283807	13.22583074	0.0	0.00219545	0.0	0.0	0.0	13.41612351	2086227.0
2014-Early Summer	12.224285714285713	4.527272727272727	1.7477272727272728	11.1	NA	NA	NA	NA	NA	NA	NA	NA	8.91	35.35	36.2	4.74	4.85	0.18	0.045000000000000005	0.035	0.0	0.0	0.112102505	0.0	0.0063856500000000005	8.722424615	0.0	0.000160085	0.00055941	0.0	0.0	8.841632265	805581.5
2014-Late Summer	16.990650462916665	1.3676470588235294	1.565277777777778	7.92	50.89	17.79	26.74	29.54	22.31	2.89	0.01	0.0	8.806666666666667	36.24	36.78	4.663333333333334	4.830000000000001	0.0	0.0075	0.0275	0.0	0.449022264	0.11814427400000001	0.008785478	0.064329554	2.704380954	0.002767116	0.021003152	0.0	0.010160108	0.010349058	3.388941958	156251.8
2014-Fall	12.190000000000001	8.25	2.68125	9.5	51.39	17.98	34.19	31.61	24.1	2.98	0.0	0.0	8.16	32.21	53.68	4.16	4.75	0.04	0.38	0.09	0.06	1.96710789	0.147158	0.01316487	0.09726297	0.41735497	0.0	0.00160085	0.0	0.0	0.01141189	2.65506144	1069475.0
2014-Ice-on	1.0	9.9	4.2	7.1	54.97	19.9	34.13	34.24	24.29	3.04	0.0	0.0	7.88	44.81	43.95	5.27	5.2	0.45	0.2	0.07	0.05	0.03693924	0.01899168	0.01019532	0.0854377	0.00935307	0.0	0.00213447	0.0	0.00221724	0.0	0.16526872	854957.0
2015-Spring	8.209999999999999	12.055555555555555	1.30125	25.3	52.44	18.7	46.4	33.68	27.67	2.94	0.0	0.0	8.515	36.955	54.195	4.6	4.8100000000000005	0.5555	0.017	0.08825000000000001	0.02275	0.6826797600000001	0.2393023725	0.005936665	0.2382499175	0.12389348500000001	0.0	0.32617319499999997	0.0	0.06325580750000001	0.0	1.6794912025	2075144.75
2015-Clearwater	13.116666666666667	7.05	4.423988095285714	5.75	NA	NA	NA	NA	NA	NA	NA	NA	8.58	43.22	43.24	5.66	5.91	0.2375	0.1215	0.053000000000000005	0.022	0.00029933	0.01638374	4.435e-05	0.09608635	3.24404009	0.0	0.00128068	0.0	0.00026607	0.0	3.358400605	5796540.5
2015-Early Summer	13.670454545454545	2.9392857142857145	1.8974999999999997	11.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.105	0.041	0.054	0.004	0.0	0.09749385	0.00029933	0.00270504	9.72705021	0.0	0.0	0.0	0.0	0.0	9.82754843	1301548.0
2015-Late Summer	15.56830597014926	2.0686	1.52	15.266666666666667	53.46	18.2	26.53	31.3	23.67	2.62	0.0	0.0	8.74	37.6275	38.1475	5.234999999999999	5.3025	0.0	0.021500000000000002	0.03266666666666667	0.0018333333333333333	0.1809835333333333	0.16191493333333332	0.09380315666666666	0.06863025166666667	6.359920066666667	0.0	0.01792952	0.0	0.029269763333333334	0.0	6.912451225000001	663123.6666666666
2015-Fall	13.716666666666667	7.723333333333333	2.5	12.2	53.32	19.99	31.23	31.63	22.63	2.85	0.0	0.0	8.07	41.73	41.95	4.54	4.65	0.0	0.479	0.098	0.058	2.84943625	0.1337242	0.00047893	0.12686168	1.02526488	0.0	0.00461045	0.0	0.0061728	0.0	4.14654919	1047295.0
2015-Ice-on	0.7000000000000001	9.6	3.1	9.1	54.13	19.27	29.87	29.92	21.86	2.95	0.0	0.0	8.14	45.12	46.22	4.39	4.57	0.394	0.279	0.092	0.067	0.0	0.03573513	0.0026607	0.13314087	0.43409194	0.0	0.0384204	0.0	0.0019157	0.0	0.64596474	1631632.0
2016-Spring	5.9002878787878785	12.733333333333334	1.7093749999999999	7.033333333333334	53.82	18.61	36.91	30.95	NA	2.72	0.0	0.0	8.45	42.92	43.95	4.51	4.49	0.6123333333333334	0.038	0.071	0.007666666666666666	0.4762716866666667	0.16258280666666666	0.013928726666666669	0.15879433333333334	0.6327202766666667	0.0	0.18121622333333334	0.010445676666666667	0.03298441666666666	0.0	1.6689441466666668	2032232.0
2016-Clearwater	10.315333333333333	8.95	4.9353125	3.9000000000000004	NA	NA	NA	NA	NA	NA	NA	NA	8.49	45.58	45.76	4.62	4.79	0.5425	0.1525	0.0565	0.0225	0.01053483	1.409988345	0.001968255	0.017374725	0.050013885	0.0	0.00085379	0.00012197	0.0	0.0	1.4908558	1799511.5
2016-Early Summer	11.748073529411766	4.845714285714285	3.5793749999999998	7.5	NA	NA	NA	NA	NA	NA	NA	NA	8.85	42.87	43.19	4.88	4.94	0.329	0.045	0.036500000000000005	0.0	0.014190345	0.31812368	0.002107495	0.027493789999999997	0.61020062	0.0	0.000170755	0.0	0.0	0.0	0.972286685	1309315.0
2016-Late Summer	15.056418128684212	2.4697500000000003	2.253263888875	8.566666666666668	52.53	18.09	29.76	33.81	NA	2.89	0.0	0.0	8.745	38.652499999999996	39.115	4.4625	4.755	0.005833333333333334	0.021333333333333333	0.023833333333333335	0.0016666666666666668	0.06823702333333333	0.09564396166666667	0.006462656666666666	0.081323475	0.9101870266666667	0.0034588966666666662	0.049306180000000005	0.006774905	0.04634495666666666	0.0	1.2677390816666667	604904.6666666666
2016-Fall	11.43257692307692	7.364999999999999	2.3325	11.0	51.31	17.75	34.19	33.77	NA	2.95	0.0	0.0	8.21	43.01	42.83	4.57	4.63	0.035	0.366	0.086	0.05	0.23613315	0.23140136	0.00399103	0.00085142	1.75795952	0.0	0.00307363	0.0	0.01322735	0.0	2.24663746	606043.0
2016-Ice-on	1.6	14.1	4.8	12.8	54.6	19.08	33.13	32.22	NA	2.78	0.0	0.0	8.36	42.82	43.01	5.28	4.89	0.308	0.481	0.081	0.053	0.24215901	0.00746605	0.01619475	0.05580351	1.30547321	0.0	0.01126998	0.00957848	0.01880575	0.0	1.66675074	672224.0
2017-Spring	9.307886363636364	10.018	1.7	22.5	55.98	16.54	35.62	30.3	22.97	2.68	0.0	0.0	8.805	45.129999999999995	46.230000000000004	4.705	4.68	0.6429999999999999	0.12866666666666668	0.08966666666666667	0.030333333333333334	0.52125543	0.14675141666666666	0.015952943333333334	0.35289595333333335	0.33920020666666667	0.0	0.20704327	0.03503684666666667	0.014308593333333333	0.0	1.63244466	3311444.6666666665
2017-Clearwater	13.252580000000002	7.022857142857142	4.5908333332857145	1.0	NA	NA	NA	NA	NA	NA	NA	NA	9.05	43.81	43.64	6.14	6.41	0.5680000000000001	0.15400000000000003	0.074	0.0335	0.00208177	0.031388005	0.00025701	0.0186937	6.49262506	0.0	0.005884009999999999	0.00063883	0.0	0.0	6.55156838	2170167.5
2017-Early Summer	14.4986	4.4175	2.242291666625	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.426	0.186	0.066	0.021	0.0	0.05765804	0.01529899	0.01560937	2.1215555	0.0	0.0	0.0	0.0	0.0	2.2101219	684952.0
2017-Late Summer	16.8826580756701	1.8145454545454542	1.660778985521739	10.942857142857145	53.8	17.27	30.67	31.93	25.42	2.87	0.0	0.0	9.125	39.25	39.5425	4.9075	5.15	0.0	0.01642857142857143	0.04685714285714286	0.0012857142857142859	1.3268624214285718	0.21719803999999998	0.010052021428571428	0.057179458571428574	3.6985076614285717	0.0	0.05900275714285714	0.0016582571428571428	0.047057317142857144	0.0	5.417517934285714	402255.1666666667
2017-Fall	11.412410256538463	9.690000000000001	4.41425	4.7	54.98	15.38	34.06	33.13	25.38	2.98	0.0	0.0	8.51	47.48	47.765	4.65	4.6	0.203	0.671	0.116	0.091	1.474816965	0.02459768	0.00102627	0.034915215	1.617125575	0.0	0.00196676	0.000912235	0.00045612	0.0	3.15581682	385115.0
2017-Ice-on	0.9	11.1	4.3	6.5	52.89	18.6	36.25	33.07	22.86	2.79	0.0	0.0	8.64	49.61	49.98	4.6	4.38	0.288	0.404	0.097	0.055	1.12728945	0.00595426	0.00731691	0.11207302	0.61494977	0.0	0.00051227	0.0	0.0	0.0	1.86809568	368768.0
2018-Spring	6.11164692981579	13.38458333375	1.48625	24.975	NA	NA	NA	NA	NA	NA	NA	NA	8.83	44.75	45.35	4.88	5.0	0.6723333333333333	0.256	0.12	0.05566666666666667	0.6412225800000001	0.33733455333333334	0.0069375	0.6593678366666667	0.14959025666666667	0.0	0.15666985666666666	0.0	0.07798845333333333	0.0	2.0291110366666665	951707.6666666666
2018-Clearwater	9.143999999999998	8.219999999999999	3.721875	8.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.609	0.227	0.08	0.053	0.00035476	0.10118898	0.0	0.0170284	8.72349947	0.0	0.00170757	0.0	0.0	0.0	8.84377918	990769.0
2018-Early Summer	10.174083333333332	3.6604545454545456	2.4725277778181813	4.45	NA	NA	NA	NA	NA	NA	NA	NA	9.12	43.16	43.27	5.86	6.05	0.4205	0.184	0.062	0.026000000000000002	0.036441	0.05066453	0.0	0.035588925	1.048400555	0.0	0.000469585	0.000369305	0.01864014	0.0	1.19057404	522537.5
2018-Late Summer	13.438607255522385	1.2905606060909092	1.73146666664	14.100000000000003	54.26	15.48	26.85	32.16	27.31	3.04	0.0	0.0	9.1725	36.697500000000005	36.83	5.39	5.5275	0.0	0.015571428571428571	0.032285714285714286	0.0008571428571428572	0.30321713571428566	0.06363403714285713	0.0018136128571428572	0.024924321428571428	4.193669214285714	0.0	0.009288851428571429	0.0	0.19620111571428575	0.0	4.7927482885714285	155681.42857142858
2018-Fall	10.247362068965515	10.256666666666666	4.027083333333334	6.9	51.4	15.04	32.08	29.9	23.63	3.15	0.0	0.0	8.46	44.285	44.545	3.7249999999999996	4.645	0.2025	0.42425	0.11575	0.08675	0.0432212625	0.02830677	0.0025248925	0.04937221000000001	1.1126456100000002	0.0	0.0060965725	0.001385775	0.0001995525	0.0	1.243752645	97941.33333333333
2018-Ice-on	1.4816666666666667	13.806666666666667	4.055	10.7	56.78	17.67	38.81	36.44	28.23	3.15	0.0	0.04	8.63	46.96	47.08	4.68	4.85	0.363	0.649	0.116	0.085	3.72024844	0.00979584	0.0	0.07185044	0.55572423	0.0	0.01024544	0.0	0.0	0.0	4.36786439	255119.0
2019-Spring	6.943890625	14.654285714285715	2.5896875	NA	54.57	15.89	38.01	31.25	26.63	3.57	0.0	0.0	8.83	40.49	40.855000000000004	4.595	4.61	1.2233333333333334	0.015666666666666666	0.12733333333333333	0.07133333333333333	3.1137098125	0.09496321499999999	0.02631883	0.103189275	0.02726218	0.00962549	0.0453360725	0.0	0.009320172500000001	0.0	3.4297250475000003	NA
2019-Clearwater	12.645253968095238	7.274583333333335	6.177222222250001	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.91	42.43	42.12	4.91	4.96	1.0193333333333332	0.10566666666666667	0.09866666666666668	0.07933333333333333	0.006504423333333333	0.9165176166666668	0.0014438433333333334	0.04723690666666666	0.70742823	0.037390773333333335	0.00015083666666666667	0.0	0.008551893333333333	0.0	1.7252245233333332	NA
2019-Early Summer	14.776115384615384	3.6025	2.2175	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.16	36.53	36.82	5.03	5.03	0.701	0.03	0.061	0.039	0.0	0.02134665	0.0023861	0.00496662	6.28558045	0.01303738	0.0	0.0	0.00665172	0.0	6.33396892	NA
2019-Late Summer	16.03912398378049	2.0057142857142862	1.4341447368421052	NA	51.78	14.26	32.98	30.76	25.73	3.68	0.0	0.0	9.276666666666666	35.92000000000001	37.09	4.67	5.366666666666667	0.0472	0.036	0.058199999999999995	0.0106	0.16107291999999998	0.017728766	0.0	0.016723312	13.848156454	0.0	0.00016008599999999998	0.0	0.0	0.0	14.043841538	NA
2019-Fall	11.525757575757577	9.8975	4.105416666749999	NA	51.14	13.54	NA	NA	NA	NA	NA	NA	8.5	42.1	42.39	4.41	4.4	0.212	0.6915	0.16	0.1355	0.020812295	0.010419585	3.77e-05	0.04944742	0.831424445	0.0	0.00012807	0.0	0.0	0.0	0.91226948	NA
2019-Ice-on	1.14	11.668000000000001	1.653125	NA	53.59	16.27	29.38	30.85	23.53	3.12	0.0	0.0	8.45	46.27	46.04	4.76	4.7	0.953	0.18	0.128	0.102	0.46665833	0.00926329	0.02782777	0.08127519	0.02137055	0.0	0.03227314	0.0	0.01135227	0.0	0.65002054	NA
